id=1, nearest_id=121862, x=47.1, y=128.88
id=2, nearest_id=12827, x=51.7, y=125.64
id=3, nearest_id=113975, x=21.16, y=106.06
id=4, nearest_id=149159, x=5.98, y=132.47
id=5, nearest_id=94300, x=65.11, y=94.81
id=6, nearest_id=43818, x=89.38, y=114.84
id=7, nearest_id=8816, x=89.43, y=95.19
id=8, nearest_id=79795, x=3.7, y=126.08
id=9, nearest_id=4586, x=22.23, y=97.01
id=10, nearest_id=67804, x=47.53, y=134.01
id=11, nearest_id=11425, x=69.25, y=126.55
id=12, nearest_id=85208, x=22.36, y=141.73
id=13, nearest_id=100197, x=34.5, y=93.48
id=14, nearest_id=58292, x=88.59, y=138.09
id=15, nearest_id=64709, x=77.65, y=86.14
id=16, nearest_id=97516, x=23.33, y=144.89
id=17, nearest_id=74801, x=55.94, y=102.88
id=18, nearest_id=58974, x=54.6, y=120.31
id=19, nearest_id=93541, x=39.85, y=138.04
id=20, nearest_id=34450, x=40.16, y=124.04
id=21, nearest_id=89802, x=43.5, y=97.81
id=22, nearest_id=16409, x=66.08, y=102.92
id=23, nearest_id=30601, x=74.05, y=107.8
id=24, nearest_id=84851, x=64.57, y=133.12
id=25, nearest_id=40500, x=35.39, y=159.32
id=26, nearest_id=31056, x=38.65, y=85.62
id=27, nearest_id=66779, x=1.16, y=88.68
id=28, nearest_id=80173, x=58.16, y=98.45
id=29, nearest_id=43931, x=61.91, y=124.66
id=30, nearest_id=15726, x=87.71, y=95.07
id=31, nearest_id=97961, x=39.0, y=99.06
id=32, nearest_id=103709, x=36.85, y=101.17
id=33, nearest_id=124116, x=24.67, y=147.83
id=34, nearest_id=11871, x=58.14, y=126.62
id=35, nearest_id=99760, x=27.45, y=158.82
id=36, nearest_id=26839, x=16.99, y=153.4
id=37, nearest_id=129691, x=74.41, y=142.46
id=38, nearest_id=50737, x=28.4, y=110.97
id=39, nearest_id=57490, x=6.46, y=121.43
id=40, nearest_id=81424, x=80.36, y=94.64
id=41, nearest_id=56772, x=71.76, y=88.28
id=42, nearest_id=44179, x=36.32, y=158.75
id=43, nearest_id=127219, x=18.95, y=103.86
id=44, nearest_id=118810, x=6.47, y=116.53
id=45, nearest_id=134922, x=62.26, y=119.4
id=46, nearest_id=6045, x=52.87, y=158.06
id=47, nearest_id=71161, x=46.88, y=158.28
id=48, nearest_id=94122, x=7.03, y=136.4
id=49, nearest_id=122653, x=36.85, y=119.48
id=50, nearest_id=87582, x=47.79, y=140.3
id=51, nearest_id=47805, x=54.77, y=87.82
id=52, nearest_id=131574, x=86.83, y=88.37
id=53, nearest_id=95672, x=41.58, y=146.03
id=54, nearest_id=48955, x=79.8, y=138.83
id=55, nearest_id=27560, x=81.64, y=156.57
id=56, nearest_id=130342, x=56.26, y=127.54
id=57, nearest_id=9647, x=6.64, y=142.37
id=58, nearest_id=117167, x=5.87, y=144.89
id=59, nearest_id=105139, x=20.7, y=146.39
id=60, nearest_id=107931, x=4.98, y=91.29
id=61, nearest_id=65273, x=3.46, y=111.32
id=62, nearest_id=24321, x=81.38, y=87.74
id=63, nearest_id=82044, x=73.26, y=143.01
id=64, nearest_id=91403, x=72.56, y=153.24
id=65, nearest_id=134695, x=2.69, y=148.05
id=66, nearest_id=88953, x=56.03, y=135.84
id=67, nearest_id=59394, x=16.1, y=125.49
id=68, nearest_id=116931, x=26.28, y=98.91
id=69, nearest_id=34297, x=20.66, y=125.02
id=70, nearest_id=66829, x=16.14, y=148.25
id=71, nearest_id=80838, x=84.84, y=89.61
id=72, nearest_id=88313, x=44.84, y=126.55
id=73, nearest_id=112458, x=27.35, y=135.3
id=74, nearest_id=122507, x=53.43, y=135.81
id=75, nearest_id=94291, x=87.31, y=157.4
id=76, nearest_id=118135, x=79.4, y=120.49
id=77, nearest_id=131978, x=26.61, y=94.99
id=78, nearest_id=81694, x=18.28, y=102.57
id=79, nearest_id=118026, x=39.78, y=145.23
id=80, nearest_id=16186, x=28.44, y=159.99
id=81, nearest_id=60052, x=59.78, y=109.48
id=82, nearest_id=118097, x=41.76, y=137.98
id=83, nearest_id=94339, x=6.28, y=118.22
id=84, nearest_id=91792, x=20.93, y=142.42
id=85, nearest_id=55501, x=41.6, y=110.55
id=86, nearest_id=72305, x=54.84, y=127.63
id=87, nearest_id=885, x=62.42, y=117.25
id=88, nearest_id=52342, x=55.45, y=125.98
id=89, nearest_id=70790, x=24.52, y=153.77
id=90, nearest_id=29587, x=35.9, y=136.05
id=91, nearest_id=143367, x=31.06, y=105.17
id=92, nearest_id=89900, x=75.56, y=136.84
id=93, nearest_id=87838, x=70.94, y=103.82
id=94, nearest_id=130670, x=38.1, y=81.94
id=95, nearest_id=120555, x=5.47, y=83.48
id=96, nearest_id=352, x=4.67, y=158.71
id=97, nearest_id=54909, x=18.61, y=89.04
id=98, nearest_id=96707, x=51.08, y=145.93
id=99, nearest_id=68707, x=51.0, y=108.7
id=100, nearest_id=122761, x=48.82, y=91.77
id=101, nearest_id=52954, x=68.36, y=134.73
id=102, nearest_id=33972, x=67.57, y=134.58
id=103, nearest_id=5366, x=49.58, y=152.72
id=104, nearest_id=62026, x=34.6, y=97.78
id=105, nearest_id=51357, x=55.32, y=113.61
id=106, nearest_id=35778, x=17.3, y=141.64
id=107, nearest_id=27114, x=5.1, y=93.62
id=108, nearest_id=27895, x=4.6, y=106.91
id=109, nearest_id=140242, x=62.09, y=80.45
id=110, nearest_id=93501, x=30.38, y=126.51
id=111, nearest_id=53084, x=75.72, y=114.24
id=112, nearest_id=100158, x=32.71, y=149.56
id=113, nearest_id=91885, x=54.91, y=156.53
id=114, nearest_id=39504, x=22.12, y=93.67
id=115, nearest_id=139052, x=3.01, y=133.39
id=116, nearest_id=69193, x=25.65, y=113.7
id=117, nearest_id=29136, x=46.05, y=117.94
id=118, nearest_id=71016, x=7.92, y=151.39
